phrase l2,surprisal_phrase l2,sentence l2,surprisal_sentence l2,phrase ru,surprisal_phrase ru,sentence ru,surprisal_sentence ru,literal translation,surprisal_literal translation,phrase ru with literal,surprisal_phrase ru with literal
v důsledku,"{'v': 0.0, 'dusledku': 39.310410499572754}",artemidin chrám v efesu byl zničen 21. července 356 př.n.l. v důsledku žhářství spáchaného herostratem.,"{'artemidin': 17.88485050201416, 'chram': 16.55618715286255, 'v': 4.505026817321777, 'efesu': 22.9093017578125, 'byl': 12.805088996887207, 'znicen': 21.965068817138672, '21.': 11.520696640014648, 'cervence': 22.769618034362793, '356': 13.927946090698242, 'pr.n.l.': 25.994181632995605, 'dusledku': 29.049368858337402, 'zharstvi': 24.708602905273438, 'spachaneho': 28.13296413421631, 'herostratem.': 32.42661476135254}",в результате,"{'в': 0.0, 'результате': 7.627569198608398}","храм артемиды в эфесе был разрушен 21 июля 356 года до н. э. в результате акта поджога, совершенного геростратом.","{'храм': 4.427314758300781, 'артемиды': 18.181859970092773, 'в': 3.093949317932129, 'эфесе': 9.156591892242432, 'был': 4.694700241088867, 'разрушен': 6.334103584289551, '21': 9.658191680908203, 'июля': 2.4852352142333984, '356': 7.066232681274414, 'года': 0.5187511444091797, 'до': 0.4034271240234375, 'н.': 0.05971336364746094, 'э.': 0.5123462677001953, 'результате': 0.8744678497314453, 'акта': 8.365392684936523, 'поджога,': 7.696958541870117, 'совершенного': 2.288888931274414, 'геростратом.': 17.953011512756348}",в последствии,"{'в': 0.0, 'последствии': 11.532119750976562}","храм артемиды в эфесе был разрушен 21 июля 356 года до н. э. в последствии акта поджога, совершенного геростратом.","{'храм': 4.427314758300781, 'артемиды': 18.181859970092773, 'в': 3.093949317932129, 'эфесе': 9.156591892242432, 'был': 4.694700241088867, 'разрушен': 6.334103584289551, '21': 9.658191680908203, 'июля': 2.4852352142333984, '356': 7.066232681274414, 'года': 0.5187511444091797, 'до': 0.4034271240234375, 'н.': 0.05971336364746094, 'э.': 0.5123462677001953, 'последствии': 8.934351921081543, 'акта': 10.537361145019531, 'поджога,': 8.841798782348633, 'совершенного': 5.89198112487793, 'геростратом.': 17.107696533203125}"
na světě,"{'na': 0.0, 'svete': 17.87546443939209}","neexistuje na světě hrdina, jenž by nebyl někomu ukraden, a není země, která by původně nebyla někoho jiného.","{'neexistuje': 26.440398693084717, 'na': 4.420737266540527, 'svete': 9.14712142944336, 'hrdina,': 20.091161727905273, 'jenz': 14.508856773376465, 'by': 2.279003143310547, 'nebyl': 15.135887145996094, 'nekomu': 14.846652030944824, 'ukraden,': 18.71311378479004, 'a': 2.4792098999023438, 'neni': 11.485147476196289, 'zeme,': 14.13224983215332, 'ktera': 9.694320678710938, 'puvodne': 24.009855270385742, 'nebyla': 11.488818168640137, 'nekoho': 17.24089241027832, 'jineho.': 19.211501121520996}",на свете,"{'на': 0.0, 'свете': 10.170262336730957}","нет на свете героя, которого бы кто-нибудь у кого-нибудь да не украл, и нет страны, которая прежде не принадлежала бы кому-то другому.","{'нет': 4.971362113952637, 'на': 3.9947853088378906, 'свете': 6.762357711791992, 'героя,': 11.700519561767578, 'которого': 3.8367691040039062, 'бы': 0.2137279510498047, 'кто-нибудь': 6.508747100830078, 'у': 7.464206695556641, 'кого-нибудь': 4.769176483154297, 'да': 6.436725616455078, 'не': 2.25445556640625, 'украл,': 3.3649940490722656, 'и': 2.435422897338867, 'страны,': 7.735647201538086, 'которая': 2.0833559036254883, 'прежде': 9.27739143371582, 'принадлежала': 5.62065315246582, 'кому-то': 5.868731498718262, 'другому.': 2.1517982482910156}",на свет,"{'на': 0.0, 'свет': 8.54091739654541}","нет на свет героя, которого бы кто-нибудь у кого-нибудь да не украл, и нет страны, которая прежде не принадлежала бы кому-то другому.","{'нет': 5.99201774597168, 'на': 3.9947853088378906, 'свет': 6.340758323669434, 'героя,': 13.020792007446289, 'которого': 4.495902061462402, 'бы': 0.3934154510498047, 'кто-нибудь': 7.261168479919434, 'у': 6.885499954223633, 'кого-нибудь': 4.682905197143555, 'да': 6.5770721435546875, 'не': 2.02553653717041, 'украл,': 3.4537353515625, 'и': 2.253091812133789, 'страны,': 8.958768844604492, 'которая': 1.8923215866088867, 'прежде': 9.333276748657227, 'принадлежала': 5.806236267089844, 'кому-то': 5.841740608215332, 'другому.': 2.4038772583007812}"
snad jen,"{'snad': 14.954880714416504, 'jen': 15.290410995483398}",kdo tohle ví? řekl nakladatel. snad jen vítr.,"{'kdo': 9.579044342041016, 'tohle': 20.790291786193848, 'vi?': 14.50780963897705, 'rekl': 14.14732551574707, 'nakladatel.': 29.07175922393799, 'snad': 14.602887153625488, 'jen': 11.706863403320312, 'vitr.': 19.135950088500977}",разве что,"{'разве': 5.351574897766113, 'что': 2.0829334259033203}",кто знает? разве что ветер…,"{'кто': 0.0, 'знает?': 7.521928787231445, 'разве': 8.66281509399414, 'что': 4.27846622467041, 'ветер…': 13.405869483947754}",может просто,"{'может': 0.0, 'просто': 7.003056049346924}",кто знает? может просто ветер…,"{'кто': 0.0, 'знает?': 7.521928787231445, 'может': 3.966104507446289, 'просто': 6.326859474182129, 'ветер…': 15.021368026733398}"
z toho,"{'z': 0.0, 'toho': 19.39071750640869}","chlapec ukryl více než 600 poštovních dokumentů, z toho 429 novoročních přání,","{'chlapec': 19.68345832824707, 'ukryl': 21.992484092712402, 'vice': 14.535356521606445, 'nez': 9.859908103942871, '600': 13.524296760559082, 'postovnich': 23.642446517944336, 'dokumentu,': 16.98507785797119, 'z': 3.0283594131469727, 'toho': 13.276619911193848, '429': 13.177967071533203, 'novorocnich': 27.85604763031006, 'prani,': 17.69672203063965}",в том числе,"{'в': 0.0, 'том': 6.044155597686768, 'числе': 0.1317615509033203}","этот мальчик спрятал более 600 почтовых документов, в том числе 429 новогодние открытки, которые не были доставлены получателям, для которых они предназначались.","{'этот': 7.696650505065918, 'мальчик': 6.406732559204102, 'спрятал': 10.023303031921387, 'более': 10.38412094116211, '600': 3.9267282485961914, 'почтовых': 9.134825706481934, 'документов,': 9.897927284240723, 'в': 3.008960723876953, 'том': 0.39813232421875, 'числе': 0.0010662078857421875, '429': 11.848337173461914, 'новогодние': 12.518047332763672, 'открытки,': 1.7077350616455078, 'которые': 2.326716423034668, 'не': 4.046762466430664, 'были': 1.269155502319336, 'доставлены': 2.815073013305664, 'получателям,': 6.98294734954834, 'для': 7.037896156311035, 'которых': 3.8956212997436523, 'они': 1.179051399230957, 'предназначались.': 0.9848251342773438}",с того,"{'с': 0.0, 'того': 8.491372108459473}","этот мальчик спрятал более 600 почтовых документов, с того 429 новогодние открытки, которые не были доставлены получателям, для которых они предназначались.","{'этот': 7.696650505065918, 'мальчик': 6.406732559204102, 'спрятал': 10.023303031921387, 'более': 10.38412094116211, '600': 3.9267282485961914, 'почтовых': 9.134825706481934, 'документов,': 9.897927284240723, 'с': 5.7568206787109375, 'того': 6.961751937866211, '429': 18.70304584503174, 'новогодние': 14.62518310546875, 'открытки,': 2.3091163635253906, 'которые': 2.0740346908569336, 'не': 3.9055099487304688, 'были': 1.5638351440429688, 'доставлены': 2.8255538940429688, 'получателям,': 6.392620086669922, 'для': 7.098890781402588, 'которых': 3.51346492767334, 'они': 1.385645866394043, 'предназначались.': 1.1852970123291016}"
co nejrychleji,"{'co': 0.0, 'nejrychleji': 42.3386926651001}",co nejrychleji přijdeme.,"{'co': 0.0, 'nejrychleji': 42.3386926651001, 'prijdeme.': 27.846129417419434}",как только,"{'как': 0.0, 'только': 5.052468299865723}","придем, как только сможем.","{'придем,': 11.303548812866211, 'как': 3.4116764068603516, 'только': 1.8852386474609375, 'сможем.': 3.2056217193603516}",что рыхлый,"{'что': 0.0, 'рыхлый': 14.25387954711914}","придем, что рыхлый сможем.","{'придем,': 11.303548812866211, 'что': 4.872016906738281, 'рыхлый': 17.31884002685547, 'сможем.': 17.132936477661133}"
dokonce i,"{'dokonce': 16.757814407348633, 'i': 6.329686164855957}","ještě před půl stoletím bylo na takové dobývání třeba věnovat mnoho času (i týdny, dokonce i měsíce!).","{'jeste': 9.582878112792969, 'pred': 8.590225219726562, 'pul': 13.762240409851074, 'stoletim': 22.718345642089844, 'bylo': 10.694010734558105, 'na': 4.184351921081543, 'takove': 13.750134468078613, 'dobyvani': 20.179248809814453, 'treba': 11.287800788879395, 'venovat': 16.12914752960205, 'mnoho': 16.878207206726074, 'casu': 12.87678337097168, '(i': 9.411795616149902, 'tydny,': 23.684097290039062, 'dokonce': 12.910110473632812, 'i': 4.274358749389648, 'mesice!).': 29.536821365356445}",а то и,"{'а': 0.0, 'то': 6.535887241363525, 'и': 2.533196449279785}","еще полвека назад для такого завоевания требовалась уйма времени (недели, а то и месяцы! ).","{'еще': 0.0, 'полвека': 11.663976669311523, 'назад': 1.311326026916504, 'для': 6.688133239746094, 'такого': 5.657865524291992, 'завоевания': 10.179134368896484, 'требовалась': 5.842024803161621, 'уйма': 7.37252140045166, 'времени': 1.1923418045043945, '(недели,': 14.89394474029541, 'а': 2.3217926025390625, 'то': 0.31011199951171875, 'и': 0.0060482025146484375, 'месяцы!': 7.217142105102539, ').': 5.938514709472656}",до конца и ,"{'до': 0.0, 'конца': 8.417715072631836, 'и': 5.245887756347656}","еще полвека назад для такого завоевания требовалась уйма времени (недели, до конца и  месяцы! ).","{'еще': 0.0, 'полвека': 11.663976669311523, 'назад': 1.311326026916504, 'для': 6.688133239746094, 'такого': 5.657865524291992, 'завоевания': 10.179134368896484, 'требовалась': 5.842024803161621, 'уйма': 7.37252140045166, 'времени': 1.1923418045043945, '(недели,': 14.89394474029541, 'до': 9.162702560424805, 'конца': 3.953876495361328, 'и': 6.805773735046387, 'месяцы!': 27.93004322052002, ').': 3.9896841049194336}"
potom co,"{'potom': 10.522088050842285, 'co': 15.00955581665039}","zaslechl vrzání pantů asi přes čtyři střechy nedlouho potom, co jeho přítel odešel.","{'zaslechl': 26.701244354248047, 'vrzani': 24.584814071655273, 'pantu': 17.247018814086914, 'asi': 11.896909713745117, 'pres': 11.517922401428223, 'ctyri': 23.214778900146484, 'strechy': 21.565872192382812, 'nedlouho': 23.39967155456543, 'potom,': 14.422825813293457, 'co': 6.315522193908691, 'jeho': 10.005220413208008, 'pritel': 15.677764892578125, 'odesel.': 19.813864707946777}",после того как,"{'после': 0.0, 'того': 3.2788333892822266, 'как': 1.133946418762207}","чердачник услышал скрип оконных петель на одной из соседних крыш ― было это вскоре после того, как друг его удалился.","{'чердачник': 12.282477855682373, 'услышал': 8.997300148010254, 'скрип': 4.158903121948242, 'оконных': 7.685201644897461, 'петель': 1.006927490234375, 'на': 5.392267227172852, 'одной': 6.342517852783203, 'из': 0.11126708984375, 'соседних': 3.081698417663574, 'крыш': 1.8191242218017578, '―': 11.67609977722168, 'было': 6.5899457931518555, 'это': 5.637083053588867, 'вскоре': 6.517101287841797, 'после': 0.022966384887695312, 'того,': 1.3982868194580078, 'как': 0.007892608642578125, 'друг': 11.071695327758789, 'его': 1.8961639404296875, 'удалился.': 9.235030174255371}",потом что,"{'потом': 0.0, 'что': 5.417031288146973}",чердачник услышал скрип оконных петель на одной из соседних крыш ― было это вскоре потом что друг его удалился.,"{'чердачник': 12.282477855682373, 'услышал': 8.997300148010254, 'скрип': 4.158903121948242, 'оконных': 7.685201644897461, 'петель': 1.006927490234375, 'на': 5.392267227172852, 'одной': 6.342517852783203, 'из': 0.11126708984375, 'соседних': 3.081698417663574, 'крыш': 1.8191242218017578, '―': 11.67609977722168, 'было': 6.5899457931518555, 'это': 5.637083053588867, 'вскоре': 6.517101287841797, 'потом': 8.711732864379883, 'что': 9.727245330810547, 'друг': 10.625753402709961, 'его': 2.6455020904541016, 'удалился.': 11.455392837524414}"
čím více,"{'cim': 6.123952865600586, 'vice': 12.541834354400635}","čím více a rychleji se nato bude rozšiřovat, tím rychleji zmizí v archivu","{'cim': 6.1239519119262695, 'vice': 12.541836261749268, 'a': 8.410287857055664, 'rychleji': 8.442973136901855, 'se': 5.415999412536621, 'nato': 12.73398494720459, 'bude': 11.32449722290039, 'rozsirovat,': 25.990099906921387, 'tim': 8.92747974395752, 'zmizi': 17.549792289733887, 'v': 4.014781951904297, 'archivu': 17.269214630126953}",чем больше,"{'чем': 0.0, 'больше': 7.0220184326171875}","чем больше и быстрее нато будет расширяться, тем быстрее исчезнет в архивах, и тогда многие из нас будут спать спокойнее.","{'чем': 0.0, 'больше': 7.022019386291504, 'и': 2.2502288818359375, 'быстрее': 1.955230712890625, 'нато': 11.947225570678711, 'будет': 7.967687606811523, 'расширяться,': 6.486920356750488, 'тем': 0.6055135726928711, 'исчезнет': 6.91959285736084, 'в': 4.980382919311523, 'архивах,': 14.882762908935547, 'тогда': 4.159859657287598, 'многие': 7.414328575134277, 'из': 2.564572334289551, 'нас': 1.9626522064208984, 'будут': 2.347317695617676, 'спать': 6.411432266235352, 'спокойнее.': 4.711993217468262}",чем выше,"{'чем': 0.0, 'выше': 8.109903335571289}","чем выше и быстрее нато будет расширяться, тем быстрее исчезнет в архивах, и тогда многие из нас будут спать спокойнее.","{'чем': 0.0, 'выше': 8.109903335571289, 'и': 2.24318790435791, 'быстрее': 1.8302230834960938, 'нато': 12.691292762756348, 'будет': 7.561370849609375, 'расширяться,': 6.753338813781738, 'тем': 2.851469039916992, 'исчезнет': 7.353245735168457, 'в': 4.853307723999023, 'архивах,': 14.743825912475586, 'тогда': 4.181549072265625, 'многие': 7.446435928344727, 'из': 2.706772804260254, 'нас': 2.109132766723633, 'будут': 2.271702766418457, 'спать': 6.65131950378418, 'спокойнее.': 4.9548797607421875}"
i když,"{'i': 0.0, 'kdyz': 21.493639945983887}","tygr dokáže šplhat (i když ne dobře), plavat, skákat na velké vzdálenosti.","{'tygr': 9.919035911560059, 'dokaze': 24.347323417663574, 'splhat': 23.812167167663574, '(i': 10.208854675292969, 'kdyz': 15.948773384094238, 'ne': 7.2632341384887695, 'dobre),': 14.426796913146973, 'plavat,': 17.45254135131836, 'skakat': 13.52552318572998, 'na': 5.071086883544922, 'velke': 12.695176124572754, 'vzdalenosti.': 28.59798812866211}",хотя и,"{'хотя': 0.0, 'и': 2.9051742553710938}","будучи всесторонне развитым атлетом, тигр может взбираться на деревья (хотя и не очень хорошо), плавать, прыгать на большие расстояния и тянуть с силой пяти крепких человек.","{'будучи': 8.382522583007812, 'всесторонне': 9.955730438232422, 'развитым': 1.3373489379882812, 'атлетом,': 8.294466018676758, 'тигр': 11.22147274017334, 'может': 3.358454704284668, 'взбираться': 7.863511085510254, 'на': 2.5119552612304688, 'деревья': 1.8427963256835938, '(хотя': 9.682209968566895, 'и': 1.6754646301269531, 'не': 1.1078252792358398, 'очень': 2.2220535278320312, 'хорошо),': 4.697080612182617, 'плавать,': 4.184910774230957, 'прыгать': 2.5564613342285156, 'большие': 2.6494789123535156, 'расстояния': 0.08272743225097656, 'тянуть': 9.124749183654785, 'с': 4.752886772155762, 'силой': 5.996338844299316, 'пяти': 9.721960067749023, 'крепких': 10.862894058227539, 'человек.': 4.192418098449707}",и где же,"{'и': 0.0, 'где': 8.079419136047363, 'же': 3.9116897583007812}","будучи всесторонне развитым атлетом, тигр может взбираться на деревья (и где же не очень хорошо), плавать, прыгать на большие расстояния и тянуть с силой пяти крепких человек.","{'будучи': 8.382522583007812, 'всесторонне': 9.955730438232422, 'развитым': 1.3373489379882812, 'атлетом,': 8.294466018676758, 'тигр': 11.22147274017334, 'может': 3.358454704284668, 'взбираться': 7.863511085510254, 'на': 2.579113006591797, 'деревья': 1.8427963256835938, '(и': 8.639577865600586, 'где': 8.666006088256836, 'же': 5.054784774780273, 'не': 7.007686614990234, 'очень': 6.446566581726074, 'хорошо),': 8.039944648742676, 'плавать,': 4.692007064819336, 'прыгать': 2.570103645324707, 'большие': 2.793895721435547, 'расстояния': 0.09723854064941406, 'и': 1.8307304382324219, 'тянуть': 9.225778579711914, 'с': 4.724806785583496, 'силой': 5.967062950134277, 'пяти': 9.705018997192383, 'крепких': 10.97491455078125, 'человек.': 4.5500383377075195}"
proto že,"{'proto': 6.234644889831543, 'ze': 11.029936790466309}","já, musím se přiznat, jsem ji nechala u chatfieldů také proto, že bych s ní zrovna teď nerada zůstala o samotě.","{'ja,': 3.64725399017334, 'musim': 15.501115798950195, 'se': 9.23372745513916, 'priznat,': 17.966428756713867, 'jsem': 8.437837600708008, 'ji': 7.0765581130981445, 'nechala': 14.51624870300293, 'u': 5.6986799240112305, 'chatfieldu': 32.784698486328125, 'take': 11.360336303710938, 'proto,': 16.549530029296875, 'ze': 4.381614685058594, 'bych': 9.363860130310059, 's': 3.886622428894043, 'ni': 9.122645378112793, 'zrovna': 18.40591335296631, 'ted': 11.215185165405273, 'nerada': 18.08542251586914, 'zustala': 15.169947624206543, 'o': 4.5766754150390625, 'samote.': 16.637100219726562}",оттого что,"{'оттого': 6.842520713806152, 'что': 2.297365188598633}","она сперва решительно отказалась ехать, и, признаюсь, я оставила ее у чатфильдов, оттого, что боюсь с ней оставаться с глазу на глаз, пока она в таком настроении.","{'она': 1.4097480773925781, 'сперва': 11.835883140563965, 'решительно': 8.618986129760742, 'отказалась': 2.900528907775879, 'ехать,': 5.469640731811523, 'и,': 7.0752973556518555, 'признаюсь,': 8.865070343017578, 'я': 1.1951351165771484, 'оставила': 10.115996360778809, 'ее': 0.497711181640625, 'у': 4.075250625610352, 'чатфильдов,': 30.217805862426758, 'оттого,': 11.933834075927734, 'что': 0.2589874267578125, 'боюсь': 6.655126571655273, 'с': 7.104325294494629, 'ней': 0.9699478149414062, 'оставаться': 5.522387504577637, 'глазу': 0.08601760864257812, 'на': 0.005096435546875, 'глаз,': 1.6401195526123047, 'пока': 4.649344444274902, 'в': 4.25677490234375, 'таком': 1.5435905456542969, 'настроении.': 3.632913589477539}",про то же,"{'про': 0.0, 'то': 8.380937576293945, 'же': 3.980060577392578}","она сперва решительно отказалась ехать, и, признаюсь, я оставила ее у чатфильдов, про то же боюсь с ней оставаться с глазу на глаз, пока она в таком настроении.","{'она': 1.6079835891723633, 'сперва': 11.835883140563965, 'решительно': 8.618986129760742, 'отказалась': 2.900528907775879, 'ехать,': 5.469640731811523, 'и,': 7.0752973556518555, 'признаюсь,': 8.865070343017578, 'я': 1.1951351165771484, 'оставила': 10.115996360778809, 'ее': 0.497711181640625, 'у': 4.075250625610352, 'чатфильдов,': 30.217805862426758, 'про': 8.23281478881836, 'то': 7.240056037902832, 'же': 4.102126121520996, 'боюсь': 11.511442184448242, 'с': 6.81562614440918, 'ней': 0.9079360961914062, 'оставаться': 8.953333854675293, 'глазу': 0.43407249450683594, 'на': 0.009893417358398438, 'глаз,': 1.4315204620361328, 'пока': 4.4290666580200195, 'в': 3.977309226989746, 'таком': 2.4710378646850586, 'настроении.': 3.4964513778686523}"
ale vždyť,"{'ale': 0.0, 'vzdyt': 25.709386348724365}","máš pravdu, je nešťastná, ale vždyť to je jen knížka.","{'mas': 0.0, 'pravdu,': 23.08829689025879, 'je': 4.139280319213867, 'nestastna,': 26.12828540802002, 'ale': 5.74742317199707, 'vzdyt': 19.278998374938965, 'to': 6.800274848937988, 'jen': 8.718171119689941, 'knizka.': 22.330904960632324}",да ведь,"{'да': 0.0, 'ведь': 8.807609558105469}","конечно, она несчастная, да ведь это книжка.","{'конечно,': 10.060018539428711, 'она': 5.022150039672852, 'несчастная,': 12.256475448608398, 'да': 4.368226051330566, 'ведь': 5.174740791320801, 'это': 3.063650131225586, 'книжка.': 16.18418788909912}",а ведь,"{'а': 0.0, 'ведь': 7.382898330688477}","конечно, она несчастная, а ведь это книжка.","{'конечно,': 10.060018539428711, 'она': 5.022150039672852, 'несчастная,': 12.256475448608398, 'а': 4.087191581726074, 'ведь': 5.148062705993652, 'это': 3.369107246398926, 'книжка.': 14.951343536376953}"
ne méně než,"{'ne': 0.0, 'mene': 15.691798210144043, 'nez': 10.970452308654785}","jistě ne méně než pět set měsíčně, ne-li plných šest set.","{'jiste': 10.075879573822021, 'ne': 7.790493011474609, 'mene': 10.010801315307617, 'nez': 7.886333465576172, 'pet': 9.923384666442871, 'set': 10.495301246643066, 'mesicne,': 28.206467628479004, 'ne-li': 17.758484840393066, 'plnych': 17.879115104675293, 'sest': 9.656627655029297, 'set.': 12.31614875793457}",хотя бы,"{'хотя': 0.0, 'бы': 3.644430160522461}","наверно хотя бы пятисот в месяц, если не все шестьсот.","{'наверно': 8.894648551940918, 'хотя': 9.6957426071167, 'бы': 0.2402505874633789, 'пятисот': 12.84267807006836, 'в': 6.564438819885254, 'месяц,': 4.050309181213379, 'если': 2.7515735626220703, 'не': 2.436915397644043, 'все': 5.923855781555176, 'шестьсот.': 5.646420478820801}",не мне нежели,"{'не': 0.0, 'мне': 7.37196683883667, 'нежели': 13.171554565429688}","наверно не мне нежели пятисот в месяц, если не все шестьсот.","{'наверно': 8.894648551940918, 'не': 3.1039419174194336, 'мне': 6.665003776550293, 'нежели': 15.915083885192871, 'пятисот': 13.437885284423828, 'в': 8.030515670776367, 'месяц,': 5.565239906311035, 'если': 3.913118362426758, 'все': 5.876808166503906, 'шестьсот.': 6.261774063110352}"
už vůbec,"{'uz': 0.0, 'vubec': 25.51572322845459}","a už vůbec není jisté, zdali případné změny režimů budou k lepšímu.","{'a': 0.0, 'uz': 12.8366117477417, 'vubec': 21.73175811767578, 'neni': 10.975207328796387, 'jiste,': 17.565634727478027, 'zdali': 11.512836456298828, 'pripadne': 16.11478900909424, 'zmeny': 14.392533302307129, 'rezimu': 18.437430381774902, 'budou': 13.300811767578125, 'k': 3.2288341522216797, 'lepsimu.': 29.072760581970215}",тем более,"{'тем': 0.0, 'более': 6.097871780395508}","и тем более нет уверенности в том, что возможные изменения пойдут на пользу.","{'и': 0.0, 'тем': 8.178932189941406, 'более': 1.2053451538085938, 'нет': 5.522971153259277, 'уверенности': 6.30430793762207, 'в': 1.0520591735839844, 'том,': 0.616145133972168, 'что': 0.04333305358886719, 'возможные': 11.231101989746094, 'изменения': 3.8264970779418945, 'пойдут': 6.556337356567383, 'на': 0.7476100921630859, 'пользу.': 1.6940174102783203}",уж вообще,"{'уж': 0.0, 'вообще': 11.795167922973633}","и уж вообще нет уверенности в том, что возможные изменения пойдут на пользу.","{'и': 0.0, 'уж': 9.4994478225708, 'вообще': 7.048032283782959, 'нет': 5.783766746520996, 'уверенности': 7.0613112449646, 'в': 1.5053672790527344, 'том,': 0.4954414367675781, 'что': 0.054645538330078125, 'возможные': 11.554388046264648, 'изменения': 3.95538330078125, 'пойдут': 6.45755672454834, 'на': 0.739593505859375, 'пользу.': 1.6778755187988281}"
než dojde,"{'nez': 5.109758377075195, 'dojde': 19.745158195495605}","potrvá mnoho let, než dojde ke stavbě použitelných fúzních reaktorů.","{'potrva': 21.392759323120117, 'mnoho': 18.429920196533203, 'let,': 14.390336990356445, 'nez': 7.986397743225098, 'dojde': 18.93702793121338, 'ke': 10.016860961914062, 'stavbe': 18.30510425567627, 'pouzitelnych': 29.016257286071777, 'fuznich': 20.46070671081543, 'reaktoru.': 21.46469783782959}",прежде чем,"{'прежде': 3.3745765686035156, 'чем': 1.7339153289794922}","пройдет много времени, прежде чем будут построены полезные термоядерные реакторы.","{'пройдет': 8.800262928009033, 'много': 4.422698974609375, 'времени,': 1.246307373046875, 'прежде': 0.5045204162597656, 'чем': 0.03288841247558594, 'будут': 6.418386459350586, 'построены': 4.9747419357299805, 'полезные': 9.006636619567871, 'термоядерные': 7.769371032714844, 'реакторы.': 1.7708587646484375}",не дойдет,"{'не': 0.0, 'дойдет': 11.194962501525879}","пройдет много времени, не дойдет будут построены полезные термоядерные реакторы.","{'пройдет': 8.800262928009033, 'много': 4.422698974609375, 'времени,': 1.246307373046875, 'не': 6.886745452880859, 'дойдет': 9.213104248046875, 'будут': 13.495976448059082, 'построены': 8.269912719726562, 'полезные': 9.91257381439209, 'термоядерные': 8.31619644165039, 'реакторы.': 2.3300466537475586}"
povídalo se,"{'povidalo': 23.32120990753174, 'se': 7.299068450927734}","povídalo se, že předseda byl bílý jako stěna, opile vrávoral a něco blekotal. ","{'povidalo': 23.321212768554688, 'se,': 11.837020874023438, 'ze': 7.75811767578125, 'predseda': 16.896738052368164, 'byl': 8.970010757446289, 'bily': 12.795928955078125, 'jako': 10.487391471862793, 'stena,': 15.385041236877441, 'opile': 15.100849151611328, 'vravoral': 27.129432678222656, 'a': 5.665184020996094, 'neco': 12.457361221313477, 'blekotal.': 25.875070571899414}",по слухам,"{'по': 0.0, 'слухам': 9.029349327087402}","по слухам, на никаноре ивановиче лица не было, что он пошатывался, проходя, как пьяный, и что-то бормотал.","{'по': 0.0, 'слухам,': 9.421063423156738, 'на': 4.045623779296875, 'никаноре': 21.378820419311523, 'ивановиче': 20.108524799346924, 'лица': 7.616550445556641, 'не': 1.7419624328613281, 'было,': 2.145254135131836, 'что': 4.408295631408691, 'он': 3.3189220428466797, 'пошатывался,': 13.964438438415527, 'проходя,': 11.20268440246582, 'как': 3.524667739868164, 'пьяный,': 4.5234375, 'и': 2.800783157348633, 'что-то': 6.780327796936035, 'бормотал.': 1.9131221771240234}",поведали что,"{'поведали': 5.477680206298828, 'что': 6.016969203948975}","поведали что, на никаноре ивановиче лица не было, что он пошатывался, проходя, как пьяный, и что-то бормотал.","{'поведали': 5.477679252624512, 'что,': 10.710352420806885, 'на': 4.2855682373046875, 'никаноре': 21.360487937927246, 'ивановиче': 16.93793535232544, 'лица': 7.105478286743164, 'не': 1.8304710388183594, 'было,': 1.8786115646362305, 'что': 4.395816802978516, 'он': 1.977309226989746, 'пошатывался,': 13.42535400390625, 'проходя,': 11.17222261428833, 'как': 3.6264638900756836, 'пьяный,': 4.361127853393555, 'и': 2.2448558807373047, 'что-то': 6.636431694030762, 'бормотал.': 1.9098739624023438}"
tímto způsobem,"{'timto': 16.347609043121338, 'zpusobem': 37.88393306732178}",tímto způsobem se tam pro rusy otevírá obrovský obchodní potenciál.,"{'timto': 16.34760856628418, 'zpusobem': 37.883931159973145, 'se': 6.084321022033691, 'tam': 8.302539825439453, 'pro': 6.611086845397949, 'rusy': 14.1544189453125, 'otevira': 28.089658737182617, 'obrovsky': 19.467435836791992, 'obchodni': 19.33766269683838, 'potencial.': 18.94698143005371}",таким образом,"{'таким': 4.949761390686035, 'образом': 0.5503902435302734}","таким образом, перед русскими там открываются огромные коммерческие возможности.","{'таким': 4.949761390686035, 'образом,': 1.359757423400879, 'перед': 6.849167823791504, 'русскими': 8.569404602050781, 'там': 8.299280166625977, 'открываются': 4.518499374389648, 'огромные': 2.422600746154785, 'коммерческие': 7.7601470947265625, 'возможности.': 2.0757293701171875}",тем способом,"{'тем': 0.0, 'способом': 10.305498123168945}","тем способом, перед русскими там открываются огромные коммерческие возможности.","{'тем': 0.0, 'способом,': 10.9251708984375, 'перед': 8.938007354736328, 'русскими': 11.915814399719238, 'там': 8.157201766967773, 'открываются': 8.117701530456543, 'огромные': 2.2216148376464844, 'коммерческие': 7.460893630981445, 'возможности.': 2.0806217193603516}"
