correct_translation,source_text_to_be_translated,source_text,user_free_translation_time_taken,time_averaged_free
едва ли не,едва ли не,"Той имаше сбръчкано личице, редички бели косици и напрегнат и едва ли не страхлив поглед.",25.6,1.7066666666666668
еще и,още и,Тази операция е скъпа още и заради бащините чувства.,23.04,2.56
за счет,за сметка на,"Или как другояче да ви разбираме – нека вълците да се размножават, да разкъсват нашите стада, да живеят за сметка на народната собственост?",38.45454545454545,1.6719367588932805
именно что,именно че,"Това още преди две години и половина го знаех и две години и половина вече мисля за това именно, че «Дунечка много неща може да понесе».",32.08,1.2338461538461538
как бы не так,как ли пък не,Дебнете ме? Как ли пък не! Знаех си аз!,24.92,2.768888888888889
как известно,както е известно,Както е известно светът не е останал без добри хора.,21.23076923076923,2.123076923076923
как только,още щом,Това стана ясно още щом минахме през портала.,20.4,2.55
между прочим,между другото,И между другото въпросният „един час време отдавна беше минал.,23.564102564102566,2.3564102564102565
можно сказать,може да се каже,"Всичко това спомогна най-вече и за този неочакван случай, благодарение на който сега се променя, може да се каже, цялата ни съдба.",32.07692307692308,1.4580419580419581
на свете,на света,"Няма вече такива девойки на света, помисли си той.",20.26086956521739,2.251207729468599
на себя,на себе си,"Всі хочуть командувати, але ніхто не хоче звалити на себе си відповідальність…",13.0,1.0833333333333333
на себя,на себе си,"Капитанът, обикновено спокоен, добродушен, сега сякаш не беше на себе си.",20.863636363636363,1.896694214876033
не иначе как,без друго,"— Без друго тая мръсница — каза той — ще да е изпуснала писалката из ливадата — и заедно с Коста отидоха нататък, наведени из ливадата.",32.88,1.2646153846153847
не раз,не веднъж,"Сашо бе возил с него чичо си не веднъж и не два пъти, носеше винаги в себе си резервните ключове.",25.208333333333332,1.2604166666666665
не то что,камо ли,"Ами той, ако искаш да знаеш, дори мислите ни чува! Камо ли разговорите…",28.12,2.163076923076923
недалеко от,недалече от,"Пастирчето отишло с магарето за дърва, недалече от кошарите.",21.5,2.388888888888889
несмотря на,въпреки че,"Въпреки че вечерта бе топла, Мириса потръпна и потърси ръката на Брант.",27.727272727272727,2.3106060606060606
ничего подобного,нищо подобно,"От двайсет и пет години насам, професоре, кълна ви се, нищо подобно.",25.04,2.0866666666666664
одним словом,с една дума,"С една дума, всички бяха затънали в работа до гуша…",24.55263157894737,2.455263157894737
оттого что,от това че,"Да не би да ми стане по-леко от това, че е машина.",27.782608695652176,2.315217391304348
по окончании,след свършването,Това ще е полезно и за самия сарафин при преминаването му в следващото битие след свършването на земния му път.,39.36363636363637,1.9681818181818183
по поводу,по повод на,А по повод на вашия татко приемете най-искрените ми.,21.636363636363637,2.404040404040404
по слухам,според слухове,Според слухове граничните ни земи с Баязид били размирни и той не смеел да изтегли оттам най-добрата си войска.,34.333333333333336,1.8070175438596492
по существу,по същество,"Марк Александрович забеляза недоволството на Серго, беше огорчен, но знаеше, че Серго не е отмъстителен, нито злопаметен, още повече че по същество Марк Александрович беше прав и не беше виновен.",27.043478260869566,0.9014492753623189
после того как,след като,"След като информацията, оповестена от журналиста Макис Триантафилопулос в популярното му телевизионно предаване „Zoungla“ по Алфа ТВ, депутатът и адвокат, Петрос Мантувалос, се отказа от поста си.",26.5,0.9814814814814815
почти что,почти като,"Колкото за самата епидемия, той не се вълнуваше никак от нея и я считаше почти като сезонно явление, подобно на лятната диария по кърмачетата.",32.84,1.3683333333333334
прежде чем,преди да,"Това обаче е много трудна задача за решаване и ще са нужни много години, преди да видим изграждането на полезни реактори за синтез.",38.125,1.6576086956521738
ради Бога,за бога,"Пишете, за Бога, пишете, ще чакам!",18.763157894736842,3.1271929824561404
разве что,освен да,Освен да… – взе синята папка от масата. Дръжте.,23.36,2.5955555555555554
рядом с,редом с,"Затова, без да се колебая пито миг, ще направя „кръгом “на място в снега и ще тръгна редом с моята нова позната.",31.434782608695652,1.4288537549407114
с учетом,с оглед на,"Трето, с оглед на обстановката уточнявам плана си за действие.",23.454545454545453,2.3454545454545452
со стороны,от страна на,Поне от страна на булката.,17.545454545454547,3.5090909090909093
судя по всему,съдейки по всичко,"Момичето бързешком извади парите и ги хвърли в найлоновия плик, но съдейки по всичко, сумата бе смехотворна.",33.68421052631579,1.981424148606811
таким образом,по такъв начин,По такъв начин този проблем с военните превози е решен.,24.743589743589745,2.4743589743589745
тем более,още повече,"Още повече че Карл не е роден в Мадрид, нито изобщо в Испания.",26.083333333333332,2.0064102564102564
только что,току-що,"Зад залостената врата беше девети номер, в който току-що влезе Александър Григориевич.",21.125,1.7604166666666667
тут же,още начаса,"Та нали ако кажеш на дивака да остави тоягата, той още начаса, напук, ще направи още три такива тояги…",24.625,1.2960526315789473
хотя бы,най-малкото,"И което беше най-лошото, да бъде съучастник или най-малкото свидетел на бандитското спиране на един от товарните влакове по този участък.",32.75,1.5595238095238095
хотя и,макар и,"Тигърът, като добре закръглен атлет, може да се катери (макар и не добре), да плува, да прави огромни скокове и да дърпа със силата на петима здрави човека.",25.5,0.9107142857142857
чем больше,колкото повече,"Колкото повече мислех по този въпрос, толкова повече се убеждавах, че познавам младежа.",25.291666666666668,1.9455128205128207
что ли,ли е,За Кавказ ли е? Равнодушно попита Колка.,19.96,2.8514285714285714
что называется,дето се вика,"Дето се вика, останаха с пръст и устата!",22.27027027027027,2.7837837837837838
