correct_translation,source_text_to_be_translated,source_text,user_mcq_translation_time_taken,time_averaged_free_mcq
как бы не так,як бы не так,"Як бы не так, – сказаў ён і нецярпліва вызваліў рукі.",10.852941176470589,0.9866310160427808
как известно,як вядома,"Як вядома, пчолы патрэбны дзеля таго, каб рабіць мед.",9.1,1.011111111111111
как только,як толькі,"Можаце быць упэўнены, што, як толькі вы трапіце на прыстань ці прычал, усе стане відавочна.",7.823529411764706,0.5215686274509804
между прочим,мiж iншым,"У Беларусi ""кошт"" гадзiны працы медыцынскiх работнiкаў складае ўсяго 4404 рублi, а гэта, мiж iншым, толькi 59, 7 працэнта ад аплаты за гадзiну працы ў прамысловасцi.",9.1,0.35
можно сказать,можна сказаць,"Можна сказаць, яму проста пашанцавала, абы толькі ўдалося.",9.05,1.13125
на свете,на свеце,"Ведаеш, Наташанька, я самая шчаслівая жанчына на свеце, калі ў мяне есць такі муж.",8.966666666666667,0.6404761904761905
на себя,на сябе,"Такім чынам, шматлікія версіі сышліся ў непрыемнай знаходцы шэрагу містыфікацый, якія больш за паўстагоддзя нацягвалі НА СЯБЕ маску арыгінальных тэкстаў.",8.233333333333333,0.4116666666666666
не иначе как,няйначай як,I намацаў тут бацька Міколкі няйначай як ментуза.,10.176470588235293,1.2720588235294117
не раз,не раз,Не раз відаць яны пра гэта гаварылі…,10.03125,1.4330357142857142
не то что,не тое што,"Іх не было, наколькі я змог заўважыць, і ў спальні, ды не тое што кніжных паліц — нідзе ніводнай кнігі не віднелася.",9.911764705882353,0.4505347593582888
недалеко от,недалека ад,"На калідоры каля выхада на лесвіцу, недалека ад маей палаты топчацца міліцыянт.",9.517241379310345,0.7931034482758621
несмотря на,нягледзячы на,"Яны былі асуджаныя, нягледзячы на сур'езныя сумненні наконт іх ролі ў гэтай трагічнай падзеі.",12.724137931034482,0.9088669950738916
ничего подобного,нічога падобнага,Ніхто раней мне нічога падобнага не расказваў.,9.088235294117647,1.2983193277310925
одним словом,адным словам,"Адным словам, пад Мінскам есць такая спецыяльная бальніца, дзе раней паміралі вось такія асуджаныя…",9.75,0.6964285714285714
оттого что,ад таго што,"Прачнуўшыся ад таго, што мяне тармасіла лі-лі, я не мог зразумець, як яна тут, на трыбуне, мяне знайшла.",10.823529411764707,0.6013071895424837
по его мнению,на яго думку,"На яго думку, у нас на падобныя тэмы пішуць нецікава і мала.",9.65,0.8041666666666667
по окончании,па заканчэнні,Па заканчэнні пасяджэння Троцкі адразу ж пайшоў да тэлеграфнага апарата.,9.793103448275861,0.9793103448275862
по поводу,з нагоды,Прэс-сакратар Мінпрыроды Алена Пенязь абвінаваціла Літву ў свядомым ухіленні ад дыялогу з Беларуссю з нагоды Астравецкай АЭС.,10.482758620689655,0.6166328600405679
по слухам,па чутках,"А можа, гэта быў воўк-людаед, якіх, ПА ЧУТКАХ, шмат развялося ў навакольных пушчах.",10.523809523809524,0.8095238095238095
по существу,па сутнасці,"Зрэшты, асабліва нікога і не шукалі, адразу населі на гэтых чатырох пуцейцаў,  хоць,  па сутнасці,  ніякіх канкрэтных супраць іх улік і не мелі.",10.666666666666666,0.46376811594202894
почти что,амаль што,"Яна разумела і нават апраўдвала, калі на гэта ішлі дарослыя ― акружэнцы і свае мужыкі, але што ў той калатнечы магло прывабіць падлеткаў, амаль што дзяцей?",11.617647058823529,0.44683257918552033
прежде чем,перш чым,"Пройдзе яшчэ шмат гадоў, перш чым будуць пабудаваны прыгодныя для эксплуатацыі рэактары тэрмаядзернага сінтэзу.",9.235294117647058,0.6596638655462185
ради Бога,дзеля бога,"Дзеля бога, пакіньце ў пакоі маю бедную галаву.",8.55,1.06875
разве что,хіба толькі,"Хіба толькі хітрыць будзе, паказваючы, нібы яму тужліва",9.833333333333334,1.2291666666666667
рядом с,побач з,Я ўяўвіў сябе побач з ею ў бальнічным халаце і шлепках.,10.758620689655173,0.9780564263322884
с учетом,з улікам,"Рэальная заработная плата (з улікам росту спажывецкіх цэн на тавары і паслугі) у студзені-лютым гэтага года паменшылася на 1, 5%.",9.03448275862069,0.4517241379310345
со стороны,з боку,"У афіцыйнай заяве кіраўнік камітэта звяртае ўвагу на тое, што падобныя парушэнні з боку уладаў не з'яўляюцца адзінкавымі.",9.862068965517242,0.5478927203065135
судя по всему,мяркуючы па ўсім,"Мяркуючы па ўсім, палкоўнік быў чалавек гаваркі і меў процьму часу.",11.7,1.0636363636363635
таким образом,такім чынам,"Такім чынам, паводле экспертнай ацэнкі, інфляцыя з пачатку года склала 4, 7%.",3.0,0.25
таким образом,такім чынам,"Такім чынам, паводле экспертнай ацэнкі, інфляцыя з пачатку года склала 4,7%.",8.5,0.7727272727272727
тем более,тым больш,"Пакуль яна была маленькая, мне таксама здавалася, што мы падобныя, тым больш пры такім знешнім падабенстве…",10.411764705882353,0.6507352941176471
только что,толькі што,"Старшыня беларускага фонду культуры Уладзімір Гілеп прэзентаваў у Ялце новае арыгінальнае выданне твораў Максіма Багдановіча, толькі што выпушчанае ў свет фондам культуры.",9.233333333333333,0.4196969696969697
тут же,тут жа,"— У Свярдлоўску сыйшла, — сказаў я першае, што прыйшло ў галаву, і тут жа падумаў: “А, можа, і праўда: у Свярдлоўску сыйшла?..",8.9,0.3869565217391305
хотя бы,як мінімум,У асобных краінах ці тыпах крам есць як мінімум адзін рэстаран з даступнымі цэнамі і без аніякіх фармальных патрабаванняў.,11.294117647058824,0.5944272445820434
хотя и,але не,Тыгр здольны лазіць (але не так добра).,10.352941176470589,1.4789915966386555
чем больше,чым больш,"Ды й думаў я не так, як Крабіч, а наадварот: чым больш нармальных людзей ва ўладзе, тым лепш — яны павінны там быць.",7.764705882352941,0.3375959079283887
что ли,ці што,"Ты ж сам казаў. Не памятаеш, ЦІ ШТО?",8.852941176470589,1.1066176470588236
что называется,што называецца,"Што называецца, не ў службу, а ў дружбу.",8.75,1.09375
