correct_translation,source_text_to_be_translated,source_text,user_mcq_translation_time_taken,time_averaged_free_mcq
всего-навсего,czy jeno,"Ha! orłowe gniazdo, ale nie wiadomo, czy się orzeł w nim znajdzie, jako był Wiśniowiecki, CZY JENO wrona?.",12.72,0.7066666666666667
всю жизнь,całe życie,"Reynevan tymczasem uciekał, a szło mu to tak, jak gdyby CAŁE ŻYCIE nie robił nic innego, tylko galopował w więzach.",13.73913043478261,0.6869565217391305
да ведь,ale przecież,ALE PRZECIEŻ on tu diabli wiedzą jak narozrabia!,10.129032258064516,1.2661290322580645
да ладно,co tam,"Gdybyś nie palił… CO TAM, i tak wystarczy tylko na kartofle i chleb.",10.48,0.8061538461538462
до сих пор,nadal,"Tak, jak to robiła nadal.",12.791666666666666,2.558333333333333
едва ли не,nieomalże,To było nieomalże ostatnie nasze zwycięstwo.,12.52,2.0866666666666664
еще и,także i,Odkrycie Harvey'a ma obok praktycznego także i filozoficzne znaczenie.,9.2,1.0222222222222221
за счет,na koszt,W całym kraju korzysta z porady lekarskiej NA KOSZT właścicieli 41% a wcale jej nie doznaje 59.,12.2,0.7176470588235294
именно что,to mianowicie,"Jeden z praskich mentorów Reynevana usiłował dowodzić odnośnie lotów czarodziejskich, a TO MIANOWICIE, że są one poddane kontroli mentalnej wysmarowanej maścią lotną czarownicy lub czarownika.",13.52,0.5408
к тому же,w dodatku,"Sami własny klasztor niszczą, w dodatku z ochotą.",12.32,1.54
как бы не так,a zasię,"A zasię! To była, podobna, pierwsza kokota w Warszawie!",14.12,1.5688888888888888
как известно,jak wiadomo,"Okazało się, że Tempe, JAK WIADOMO, był u szczytu, pani Osłabędzka umarła na serce w nędzy.",7.65625,0.478515625
как только,jak tylko,"JAK TYLKO dolatywał mnie zapach spalonego węgla, od razu stawał mi przed oczyma początek mojej służby.",7.193548387096774,0.4495967741935484
между прочим,nawiasem mówiąc,"Nawiasem mówiąc, musiałem z tym doktorem uważać.",9.181818181818182,1.3116883116883116
можно сказать,można powiedzieć,"Umiem załatwiać takie rzeczy. Mam to, MOŻNA POWIEDZIEĆ, we krwi. Od pokoleń.",7.84375,0.6536458333333334
на свете,na świecie,"Rzecz w tym, że wszystko, absolutnie wszystko NA ŚWIECIE, ma trzy aury.",10.434782608695652,0.8695652173913043
на себя,na siebie,"Wiedząc o tym, niektórzy donosili więc sami NA SIEBIE.",9.304347826086957,1.033816425120773
не иначе как,nie inaczej jak,"Za to zająć się czasami którąś z dziewcząt ze służby, lecz NIE INACZEJ JAK w poufnym porozumieniu z Marfą Pietrowna.",10.68,0.534
не раз,niejednokrotnie,"Cesarz rzymski niejednokrotnie pokazał, że przyjacielem korony polskiej nie jest.",9.28,0.9279999999999999
недалеко от,niedaleko za,"Tak więc przerwy robili na świeżym powietrzu. Niedaleko za Siewierzem, pośród przydrożnej brzeziny.",9.35,0.7192307692307692
несмотря на,nie bacząc na,"Jeden z krzyżaków, NIE BACZĄC NA rozkaz brania żywcem, zamierzył się do pchnięcia w gardło.",9.954545454545455,0.6636363636363637
ничего подобного,nic podobnego,Jej NIC PODOBNEGO przydarzyć się nie mogło więc to miłosierdzie nie budziło w niej żadnych osobistych uczuć czy też obaw.,10.52,0.526
одним словом,jednym słowem,"Zrobił to jednym gestem i JEDNYM SŁOWEM, Reynevan w życiu nie widział równie sprawnie rzuconego zaklęcia.",8.375,0.5234375
оттого что,z tego że,"Pomiędzy nią a resztą pracowników nastąpiła krótka przerwa w czasie, wynikła z tego, że wszyscy najpierw podążyli w kierunku źródła hałasu.",10.451612903225806,0.49769585253456217
по его мнению,moim zdaniem,"Podejrzanych nadal było ośniu ludzi, z czego dwoje, MOIM ZDANIEM, można wykluczyć z powodów psychologicznych.",10.5,0.7
по окончании,po skończonym,"Zadowolę się jałmużną, datkiem jakim skromnym, a i to nie z góry bynajmniej, lecz PO SKOŃCZONYM dziele.",10.6,0.6235294117647059
по слухам,jak głosi fama,"Do sierotek, które, JAK GŁOSI FAMA, ostro maszerują na północ i lada moment tu będą.",10.5,0.7
по существу,w rzeczywistości,"Rewolucja z chwilą upadku powstania warszawskiego W RZECZYWISTOŚCI już się dokonała, droga do niej była otwarta.",12.826086956521738,0.8016304347826086
после того как,od momentu kiedy,"Mniej więcej godzinę OD MOMENTU, KIEDY zamilkły ostatnie strzały, Wolf powiedział, że pojedzie na zwiad i pojechał sam.",11.580645161290322,0.6433691756272402
почти что,nieledwie,"Ale Baśka moja NIELEDWIE w waćpanny leciech dlatego poczuwam się w tym aby zaś miała czasem jakowąś uciechę grzeczną, a młodemu wiekowi przystojną.",12.56,0.5460869565217391
прежде чем,zanim,"ZANIM się połapią, że to była rozgrywka.",11.133333333333333,1.5904761904761904
ради Бога,na miłosierdzie boskie,"A, NA MIŁOSIERDZIE BOSKIE! - zawołał - czy to ziemia jest rajem, żeby od niej wszystkiego dobrego razem wymagać było można!",9.838709677419354,0.4685099846390169
разве что,chyba że,CHYBA ŻE książę niedomaga.,10.870967741935484,2.717741935483871
рядом с,u boku,"Wiosna idzie, pomyślał sobie Reynevan, idąc U BOKU Szarleja rozmokłą miedzą.",7.9,0.7181818181818183
с учетом,na uwadze,Klasyfikacji skazanych dokonuje się mając NA UWADZE następujące cechy.,12.2,1.3555555555555554
со стороны,od strony,OD STRONY Bramy Wrocławskiej słychać było strzały.,8.7,1.2428571428571427
судя по всему,wygląda na to,"WYGLĄDA NA TO, że lubimy takie pochwały.",10.03125,1.4330357142857142
таким образом,w taki oto sposób,"W TAKI OTO SPOSóB wiem, kto położył kres romansowi Wirydy Hornig.",9.142857142857142,0.8311688311688311
тем более,tym bardziej,Ani TYM BARDZIEJ na trzymających stronę Albrechta katolików.,9.4,1.175
только что,przed chwilą,"A Reynevan zacytował PRZED CHWILĄ autorytety, które trochę jakby przeczą temu, co zeznajesz.",22.0,1.6923076923076923
только что,przed chwilą,"A Reynevan zacytował przed chwilą autorytety, które trochę jakby przeczą temu, co zeznajesz.",12.434782608695652,0.9565217391304348
тут же,a tu,A TU zdeponowane przez Ottona Beessa sto guldenów.,22.0,2.75
тут же,a tu,A tu zdeponowane przez Ottona Beessa sto guldenów.,11.043478260869565,1.3804347826086956
хотя бы,gdyby chociaż,"I GDYBY CHOCIAŻ los zesłał mu skruchę, gorącą skruchę, która łamie serce, spędza sen z powiek, taką skruchę, której straszliwe męczarnie nasuwają myśl o pętli i topieli!",10.8,0.4
хотя и,choć i,"Mówię ci to, byś znał moje zamiary, CHOĆ I tak z pewnością domyśliłeś się ich po pytaniach, które stawiałem Schillingowi.",10.129032258064516,0.5064516129032258
чем больше,im większy,"A IM WIĘKSZY sekret, tym większa nagroda.",9.774193548387096,1.3963133640552994
что ли,czy jak,"Pozwoliłem. Bo co on, zniewolony czy jak? Pogadaliśmy.",11.64,1.455
что называется,co znaczy,"Ot, co znaczy wiedzieć, na jakiego konia postawić!",8.84375,1.10546875
