correct_translation,source_text_to_be_translated,source_text,user_mcq_translation_time_taken,time_averaged_free_mcq
судя по всему,podle všeho,"Nejdříve většina médií tvrdila, že za vraždou podle všeho stojí mafie.",12.833333333333334,1.1666666666666667
таким образом,tímto způsobem,Tímto způsobem se tam pro rusy otevírá obrovský obchodní potenciál.,11.052631578947368,1.1052631578947367
тем более,už vůbec,"A už vůbec není jisté, zdali případné změny režimů budou k lepšímu.",11.117647058823529,0.926470588235294
только что,před okamžikem,"Tam, kde jsem před okamžikem stál, zasvištělo ostří ostroplochého meče.",11.88888888888889,1.1888888888888889
тут же,v tom okamžiku,"V tom okamžiku jsem pocítil, jak praská naše podlaha.",10.518518518518519,1.168724279835391
хотя бы,ne méně než,"Jistě ne méně než pět set měsíčně, ne-li plných šest set.",12.147058823529411,1.1042780748663101
хотя и,i když,"Tygr dokáže šplhat (i když ne dobře), plavat, skákat na velké vzdálenosti.",11.647058823529411,0.9705882352941176
чем больше,čím více,"Čím více a rychleji se nato bude rozšiřovat, tím rychleji zmizí v archivu",11.235294117647058,0.8642533936651583
что ли,či co,"A cos ty myslil? Prášek, či co?",8.517241379310345,1.2167487684729064
что называется,jak se říká,"Posud nepozbyla své krásy, ani zdraví i byla, jak se říká krev a mléko.",11.555555555555555,0.8253968253968254
